_id,type,category,subcat,description,value,source,ref,index
REF_FNRB,number,[energy],"[cooking,lighting]",Fraction of Non renewable biomass (fNRB),0.85,https://cdm.unfccc.int/DNA/fNRB/index.html,null,7
REF_EFF_FWD,number,[energy],"[cooking,lighting]",Emission Factor - Wood [kg CO2e/kg],1.894776,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,0
REF_EFF_KRS,number,[energy],"[cooking,lighting]",Emission Factor - Kerosene [kg CO2e/L],2.566443042,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,1
REF_NONCO2_FWD,number,[energy],"[cooking,lighting]",Fraction of nonCO2Emissions - Wood,0.077885724,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,2
REF_EFF_CHC_C,number,[energy],[cooking],Emission Factor - Charcoal combustion [kg CO2e/kg],3.4770175,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,3
REF_EFF_CHC_P,number,[energy],[cooking],Emission Factor - Charcoal production [kg CO2e/kg],2.7196,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_4_Ch04_Fugitive_Emissions.pdf,null,4
REF_EFF_BRQ,number,[energy],[cooking],Emission Factor - Briquette non-carbonized [kg CO2e/kg],1.269736,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,5
REF_EFF_BRQ_C_C,number,[energy],[cooking],Emission Factor - Briquette carbonized combustion [kg CO2e/kg],2.0879,https://www.sciencedirect.com/science/article/pii/S246822761930763X,null,6
REF_EFF_BRQ_C_P,number,[energy],[cooking],Emission Factor - Briquette carbonized production [kg CO2e/kg],2.5836,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_4_Ch04_Fugitive_Emissions.pdf,null,7
REF_EFF_PLTS,number,[energy],[cooking],Emission Factor - Pellets [kg CO2e/kg],1.269736,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,8
REF_EFF_ETH,number,[energy],[cooking],Emission Factor - Ethanol [kg CO2e/L],0.945452,https://cfpub.epa.gov/si/si_public_record_report.cfm?Lab=NRMRL&dirEntryId=339679,null,9
REF_EFF_LPG,number,[energy],[cooking],Emission Factor - LPG [kg CO2e/kg],2.99250545,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,10
REF_EFF_BGS,number,[energy],[cooking],Emission Factor - Biogas [kg CO2e/m3],0.0076,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,11
REF_EFF_PNG,number,[energy],[cooking],Emission Factor - Piped Natural Gas [kgCO2e/m3],2.13362568,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,12
REF_NONCO2_CHC_C,number,[energy],[cooking],Fraction of nonCO2Emissions - Charcoal combustion,0.049760319,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,13
REF_NONCO2_CHC_P,number,[energy],[cooking],Fraction of nonCO2Emissions - Charcoal production,0.422709222,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_4_Ch04_Fugitive_Emissions.pdf,null,14
REF_NONCO2_BRQ,number,[energy],[cooking],Fraction of nonCO2Emissions - Non-carbonized briquette,0.086424265,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,15
REF_NONCO2_BRQ_C_C,number,[energy],[cooking],Fraction of nonCO2Emissions - Carbonized briquette combustion,0.1202,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,16
REF_NONCO2_BRQ_C_P,number,[energy],[cooking],Fraction of nonCO2Emissions - Carbonized briquette production,0.4227,https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_4_Ch04_Fugitive_Emissions.pdf,null,17
REF_NONCO2_PLTS,number,[energy],[cooking],Fraction of nonCO2Emissions - Pellets,0.086424265,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,18
REF_EFF_DIES,number,"[energy,wash]","[facilities,cooking,lighting,water-supply]",Emission Factor - Diesel (100% mineral diesel) [kg CO2e/l],2.72440045,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,19
REF_RNW,number,"[energy,wash]","[facilities,cooking,lighting,water-supply]",Energy - Electricity - Emission Factor - Solar [kg CO2e/kWh],0,null,The GHG Emission Calculator only considers Scope 1 and 2 emissions.,20
REF_GRD,number,"[energy,wash]","[facilities,cooking,lighting,water-supply]",Energy - Electricity - Emission Factor - National Grid [kg CO2e/kWh],0.6448,https://www.iges.or.jp/en/pub/list-grid-emission-factor/en,The default grid emission factor is an average of all IGES 2022 emission factors for countries hosting refugees.,21
REF_EFF_DIES_L,number,"[energy,wash]","[facilities,cooking,lighting,water-supply]",Energy - Electricity - Efficiency - Diesel Generators [l/kWh],0.267,https://plan.sa.gov.au/__data/assets/pdf_file/0007/574531/Appendix-O-Greenhouse-Gas-Calculations.pdf,null,22
REF_EFF_PET,number,"[energy,wash]","[lighting,water-supply]",Emission Factor - Gasoline (100% mineral gasoline) [kg CO2e/l],2.34,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,null,23
REF_EFF_CNDL,number,[energy],[lighting],Emission Factor - Candle (paraffin) [kg CO2e/kg],2.9643078,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,null,24
REF_EFF_OIL,number,[energy],[lighting],Emission Factor - Vegetable oil [kg CO2e/kg],1.878252,https://www.epa.gov/system/files/documents/2023-03/ghg_emission_factors_hub.pdf,https://www.sciencedirect.com/science/article/pii/S0048969722016321,25
REF_EFF_BAT,number,[energy],[lighting],Emission Factor - Single Use Batteries [kg CO2e/kWh],0,null,The GHG Emission Calculator only considers Scope 1 and 2 emissions.,26
REF_EFF_BIO_COM,number,[materials],[waste],Emission Factor - Biowaste - Composting [kgCO2e/kg],0.1756,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/5_Volume5/V5_4_Ch4_Bio_Treat.pdf,null,27
REF_EFF_BIO_AD,number,[materials],[waste],Emission Factor - Biowaste - Anaerobic Digestion [kgCO2e/kg],0.0224,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/5_Volume5/V5_4_Ch4_Bio_Treat.pdf,null,28
REF_EFF_REC,number,[materials],[waste],Emission Factor - Recycling/Reuse [kgCO2e/kg],0,null,The GHG Emission Calculator only considers Scope 1 and 2 emissions. All waste categories can be recycled/reused except nappies (diapers).,29
