_id,t,o
ABW_ABW,0.010,0.020
AFG_AFG,0.081,0.108
AGO_AGO,0.093,0.121
ALB_ALB,0.026,0.042
AND_AND,0.010,0.020
ARE_ARE,0.043,0.062
ARG_ARG,0.106,0.138
ARM_ARM,0.027,0.043
ASM_ASM,0.010,0.020
ATG_ATG,0.010,0.020
AUS_AUS,0.124,0.159
AUT_AUT,0.045,0.065
AZE_AZE,0.045,0.065
BDI_BDI,0.025,0.041
BEL_BEL,0.028,0.044
BEN_BEN,0.051,0.071
BFA_BFA,0.066,0.090
BGD_BGD,0.053,0.074
BGR_BGR,0.050,0.071
BHR_BHR,0.010,0.020
BHS_BHS,0.008,0.021
BIH_BIH,0.037,0.055
BLR_BLR,0.061,0.084
BLZ_BLZ,0.023,0.038
BMU_BMU,0.010,0.020
BOL_BOL,0.090,0.118
BRA_BRA,0.126,0.161
BRB_BRB,0.010,0.020
BRN_BRN,0.010,0.020
BTN_BTN,0.032,0.049
BWA_BWA,0.079,0.105
CAF_CAF,0.081,0.107
CAN_CAN,0.127,0.162
CHE_CHE,0.032,0.050
CHI_CHI,0.010,0.020
CHL_CHL,0.084,0.111
CHN_CHN,0.128,0.163
CIV_CIV,0.069,0.093
CMR_CMR,0.076,0.101
COD_COD,0.103,0.134
COG_COG,0.070,0.094
COL_COL,0.091,0.119
COM_COM,0.010,0.020
CPV_CPV,0.010,0.020
CRI_CRI,0.037,0.055
CUB_CUB,0.049,0.070
CUW_CUW,0.010,0.020
CYM_CYM,0.010,0.020
CYP_CYP,0.007,0.020
CZE_CZE,0.044,0.064
DEU_DEU,0.070,0.095
DJI_DJI,0.023,0.039
DMA_DMA,0.010,0.020
DNK_DNK,0.033,0.050
DOM_DOM,0.036,0.054
DZA_DZA,0.104,0.135
ECU_ECU,0.065,0.088
EGY_EGY,0.089,0.117
ERI_ERI,0.049,0.069
ESP_ESP,0.077,0.102
EST_EST,0.034,0.052
ETH_ETH,0.091,0.119
FIN_FIN,0.068,0.092
FJI_FJI,0.019,0.034
FRA_FRA,0.078,0.104
FRO_FRO,0.010,0.020
FSM_FSM,0.010,0.020
