location_pcode,population,location_id,latitude,longitude,solar_peak_hours,year,country_code_2,_id
20AGO001,635,80,-9.1042257,13.7289167,4.868999958,2022,AO,Bengo
20AGO006,43,90,-9.2398513,14.6587821,5.002999783,2022,AO,Kwanza Norte
20AGO007,143,91,-10.595191,15.4068079,5.657000065,2022,AO,Kwanza Sul
20AGO008,5,4128,-17.17863278,15.9133643,6.336999893,2022,AO,Cunene
20AGO012,9764,93,-8.536980188,19.52739696,5.414999962,2022,AO,Lunda Norte
20AGO013,1248,94,-10.17944645,21.02083096,5.599999905,2022,AO,Lunda Sul
20AGO015,3033,98,-13.4293579,20.3308814,5.763999939,2022,AO,Moxico
20ARE001,1399,3402,24.2991738,54.6972774,5.989999771,2022,AI,Abu Dhabi : Emirate
20ARM002,95,114,40.37632987,44.19470549,4.581999779,2022,AW,Aragatsotn : Marz - Province
20ARM003,137,115,39.9753273,44.8338058,4.585999966,2022,AW,Ararat : Marz - Province
20ARM004,148,117,40.1315615,43.8325355,4.624000072,2022,AW,Armavir : Marz - Province
20ARM005,94,128,40.3863696,45.3355097,4.568999767,2022,AW,Gergharkunik : Marz - Province
20ARM006,105,136,40.9698452,44.4900138,3.825000048,2022,AW,Lori : Marz - Province
20ARM007,263,135,40.4277896,44.6641741,4.414999962,2022,AW,Kotayk : Marz - Province
20ARM008,31,144,40.8384463,43.9142396,4.447000027,2022,AW,Shirak : Marz - Province
20ARM009,24,148,39.2028881,46.4798169,4.144000053,2022,AW,Syunik : Marz - Province
20ARM010,8,156,39.8107912,45.4967174,4.598999977,2022,AW,Vayots Dzor : Marz - Province
20ARM011,20,151,40.9152268,45.4032387,3.799000025,2022,AW,Tavush : Marz - Province
20AZE001019,1623,174,40.4092617,49.8670924,4.156000137,2022,AZ,Baku : Municipality
20AZE001073,11,226,40.5854765,49.6317411,4.146999836,2022,AZ,Sumgayit : Municipality
20AZE002015,5,180,39.6024762,47.1523402,4.102000237,2022,AZ,Fuzuli : Rayon
20AZE003004,5,168,40.0529597,47.4553529,4.076000214,2022,AZ,Aghjabedi : Rayon
20BGD020003,15,237,21.79883234,92.4676566,4.849999905,2022,BD,Bandarban : Zila - District
20BGD020022,23,242,21.5225389,91.958344,4.967000008,2022,BD,Cox's Bazar : Zila - District
20BGD020084,5,249,22.6573498,92.1732708,4.763999939,2022,BD,Rangamati : Zila - District
20BGD030026,31,243,23.810332,90.4125181,4.489999771,2022,BD,Dhaka : Zila - District
20BIH002,133,293,43.8874897,17.842793,3.664999962,2022,BD,Federation of Bosnia and Herzegovina : Entity
20BIH003,8,297,44.7280186,17.3148136,3.588000059,2022,BD,Republika Srpska : Entity
20BLR002,22,253,52.4411761,30.9878462,3.059000015,2022,BE,Gomel : Oblast - Region
20BLR003,14,254,53.6693538,23.8131306,2.917999983,2022,BE,Grodno : Oblast - Region
20BLR005,11,256,53.9045398,27.5615244,2.891000032,2022,BE,Minsk : Oblast - Region
20BLR007,23,258,55.1848061,30.201622,2.825999975,2022,BE,Vitebsk : Oblast - Region
20CAF011,164,562,5.087817757,17.99141873,5.559000015,2022,BI,Ombella M'Poko : Prefecture
20CAF043,4018,563,6,21,5.592999935,2022,BI,Ouaka
20CAF051,879,539,8.2733455,20.7122465,5.836999893,2022,BI,Bamingui-Bangoran : Prefecture
20CAF063003,4013,548,5.313864666,26.25296257,5.702000141,2022,BI,Haut-Mbomou: Obo/Mboki
20CAF071,2139,540,4.366502,18.5524386,5.394000053,2022,BI,Bangui : Commune
20CIV003001,3385,5013,9.386156452,-3.230294884,5.318999767,2022,CC,Bounkani: Region
20CIV014001,1209,372,5.3599517,-4.0082563,4.552999973,2022,CC,Abidjan : Departement
20CMR001,17314,401,6.9181954,12.8054753,5.725999832,2022,CC,Adamaoua
20CMR003,14033,4522,3.8,14.2,5.119999886,2022,CC,Est
20CMR004,44224,4796,11.1,14.5,5.883999825,2022,CC,Extreme-Nord
20CMR005,12,4797,4.26,10.1,4.623000145,2022,CC,Littoral
20CMR006,26626,4515,8.49,13.9,5.777999878,2022,CC,Nord
20CMR007,174,4799,6.37,10.4,5.309000015,2022,CC,Nord-Ouest
20COD061010,3104,901,-1.658501,29.2204548,5.02699995,2022,CC,Goma
20COD062023,3124,899,-4.3006793,28.9441309,5.199999809,2022,CC,Fizi
20COD062027,979,904,-2.165851,29.056091,5.375,2022,CC,Idjwi: Territoire
20COD063024,55,984,-3.1764795,26.6291718,4.894000053,2022,CC,Pangi : Territoire
20COD063025,161,921,-4.4238447,26.6700737,5.117000103,2022,CC,Kasongo: Territoire
20COD063026,147,912,-2.552037207,26.08869475,4.770999908,2022,CC,Kailo: Territoire
20COD403034,15243,4051,3.641560191,18.62951506,5.342999935,2022,CC,Libenge : Territoire
20COD704030,222,942,-10.7275273,25.5088914,5.788000107,2022,CC,Kolwezi
20COD704034,57,949,-9.9564007,25.9704503,5.625999928,2022,CC,Lubudi : Territoire
20COD706063,111,957,-7.2879882,27.4321452,5.579999924,2022,CC,Manono : Territoire
20COD707076,24,917,-10.8778699,26.5963713,5.796000004,2022,CC,Kambove : Territoire
20COG001,5,4307,-4.175097582,13.55767457,4.669000149,2022,CC,Bouenza
20COG003002,1291,4615,-1.038055,17.113887,5.051000118,2022,CC,LoukolÃ©la
20COG003004,65,4622,-1.214164,16.794166,5.015999794,2022,CC,Mossaka
20COG005006,47,4761,-4.88778,12.062222,4.388000011,2022,CC,Tchiamba-Nzassi
20COG007001,8844,4597,3.060364,18.515648,5.236000061,2022,CC,Betou-Centre
20COG007005,5,4605,1.352499,17.452499,5.06400013,2022,CC,Epena
20COG009006,5,4616,-1.996103,16.312679,5.177999973,2022,CC,Makotimpoko
20COG010001,916,782,-4.7691623,11.866362,4.691999912,2022,CC,Pointe Noire : Point
20COG012003,139,4633,1.613609,16.05167,5.131000042,2022,CC,Ouesso Commune
20COL005,124,4407,6.739326848,-75.39970069,5.032000065,2022,CO,Department of Antioquia
20COL008,26,4410,10.72740059,-74.94176192,5.386000156,2022,CO,Department of Atlantico
20COL011001,677,715,4.31533432,-74.17960358,4.039000034,2022,CO,Bogota : Capital district
20COL020,5,4417,10.3124408,-73.33093345,5.96999979,2022,CO,Department of Cesar
20COL025,26,4420,5.360205541,-74.37814676,4.846000195,2022,CO,Department of Cundinamarca
20COL044,26,4424,11.21844089,-72.88615956,5.671999931,2022,CO,Department of La Guajira
20COL052,5,4427,1.312676837,-77.65234525,3.996999979,2022,CO,Department of NariÃ±o
20COL054,232,4428,7.795867565,-72.66357422,5.138000011,2022,CO,Department of Norte de Santander
20COL063,26,4430,4.461940535,-75.73974609,4.964000225,2022,CO,Department of Quindio
20COL068,26,4432,7.006087974,-73.24814521,5.683000088,2022,CO,Department of Santander
20COL073,10,4434,4.355140777,-75.25634766,4.289999962,2022,CO,Department of Tolima
20COL076,52,4435,3.631808517,-76.57470703,4.163000107,2022,CO,Department of Valle del Cauca
20COL081,92,4409,6.649543455,-70.7070137,5.179999828,2022,CO,Department of Arauca
20COL086,5,4429,0.6196846465,-75.92742259,4.578999996,2022,CO,Department of Putumayo
20CUB002,5,811,21.41460037,-77.94450378,5.43200016,2022,CI,Camaguey : Provincia
20CUB004,11,813,22.2379783,-80.365865,5.46999979,2022,CI,Cienfuegos : Provincia
20CUB007,97,821,23.0540698,-82.345189,5.262000084,2022,CI,La Habana : Provincia
20CUB008,8,819,20.88773918,-76.25879669,5.468999863,2022,CI,Holguin : Provincia
20CUB010,5,822,21.0605162,-76.9182097,5.395999908,2022,CI,Las Tunas : Provincia
20CUB011,5,823,22.5767123,-81.3399414,5.393000126,2022,CI,Matanzas : Provincia
20CUB016,22,828,22.4937204,-79.9192702,5.31099987,2022,CI,Villa Clara : Provincia
20EGY001,72325,1042,30.0444196,31.2357116,5.756999969,2022,EG,Cairo : Muhafazah - Governorate
20EGY002,23324,1037,31.2000924,29.9187387,5.565000057,2022,EG,Alexandria : Muhafazah - Governorate
20EGY003,325,1064,31.2652893,32.3018661,5.651000023,2022,EG,Port-Said : Muhafazah - Governorate
20EGY004,754,1070,29.9668343,32.5498069,5.815000057,2022,EG,Suez : Muhafazah - Governorate
20EGY011,9547,1044,31.4175388,31.8144434,5.568999767,2022,EG,Damietta : Muhafazah - Governorate
20EGY012,3796,1043,31.0832017,31.4913182,5.520999908,2022,EG,Dakahliya : Muhafazah - Governorate
20EGY013,11905,1035,30.57290935,31.49730278,5.620999813,2022,EG,Al Sharqia : Muhafazah - Governorate
20EGY014,21810,1056,30.3292368,31.2168466,5.659999847,2022,EG,Kalyobiya : Muhafazah - Governorate
20EGY015,709,1055,31.1063198,30.9419751,5.538000107,2022,EG,Kafr El Shiekh : Muhafazah - Governorate
20EGY016,1198,1048,30.8753556,31.03351,5.566999912,2022,EG,Gharbeya : Muhafazah - Governorate
20EGY017,2595,1061,30.5972455,30.9876321,5.605000019,2022,EG,Monofiya : Muhafazah - Governorate
20EGY018,1108,1046,30.8480986,30.3435506,5.609000206,2022,EG,El-Beheira : Muhafazah - Governorate
20EGY019,957,1054,30.5964923,32.2714587,5.671999931,2022,EG,Ismailia : Muhafazah - Governorate
20EGY021,70336,1049,29.8773258,30.80836661,5.888999939,2022,EG,Giza : Muhafazah - Governorate
20EGY022,322,1041,29.0661274,31.0993845,5.958000183,2022,EG,Beni Suef : Muhafazah - Governorate
20EGY023,276,1047,29.4170165,30.7120023,5.943999767,2022,EG,Fayoum : Muhafazah - Governorate
20EGY024,517,1060,28.14819313,30.4704981,6.127999783,2022,EG,Menia : Muhafazah - Governorate
20EGY025,427,1039,27.1783117,31.1859257,6.169000149,2022,EG,Asyut : Muhafazah - Governorate
20EGY026,188,1068,26.5590737,31.6956705,6.264999866,2022,EG,Sohag : Muhafazah - Governorate
20EGY027,93,1065,26.155061,32.7160121,6.265999794,2022,EG,Qena : Muhafazah - Governorate
20EGY028,66,1038,24.088938,32.8998293,6.373000145,2022,EG,Aswan : Muhafazah - Governorate
20EGY029,184,1058,25.6872431,32.6396357,6.323999882,2022,EG,Luxor : Muhafazah - Governorate
20EGY031,684,1066,25.1076838,33.7964613,6.512000084,2022,EG,Red Sea : Muhafazah - Governorate
20EGY032,5,1062,24.5455638,27.1735316,6.5,2022,EG,New Valley : Muhafazah - Governorate
20EGY033,1080,1059,29.569635,26.419389,5.921999931,2022,EG,Matrouh : Muhafazah - Governorate
20EGY034,20,1063,30.6084723,33.617577,5.953999996,2022,EG,North Sinai : Muhafazah - Governorate
20EGY035,79,1069,29.16818222,33.93183735,6.474999905,2022,EG,South Sinai : Muhafazah - Governorate
20ERI009,104,1086,15.4068825,37.6386622,6.242000103,2022,ER,Gash Barka : Zoba - Region
20GEO001,610,1221,42.315407,43.356892,3.884000063,2022,DE,Abkhazia : Autonomous republic
20GIN001,5,4928,10.96682994,-14.27137684,5.446000099,2022,GN,Boke
20GIN002,1438,1273,9.6411855,-13.5784012,5.264999866,2022,GN,Conakry : Special zone
20GIN003,28,4499,10.08082545,-10.72146595,5.617000103,2022,GN,Faranah
20GIN004,7,4500,10.43919553,-9.31640625,5.68900013,2022,GN,Kankan
20GIN005,506,4504,10.02220369,-12.84176676,5.441999912,2022,GN,Kindia
20GIN008,215,4501,7.749704058,-8.787414797,5.078999996,2022,GN,Nzerekore
20GMB005001,184,4343,13.45782967,-16.68003337,5.725999832,2022,GN,Kanifing
20IDN002,15,1379,-8.4095178,115.188916,4.730999947,2022,ID,Bali : Provinsi - Province
20IDN006,4707,3639,-6.239353063,106.8403155,4.474999905,2022,ID,"Jakarta and Surrounding Areas (Province: DKI Jakarta, Jawa Barat, Banten)"
20IDN010,5,3641,-6.99306,110.42083,5.215000153,2022,ID,Jawa Tengah : Provinsi - Province
20IDN011,376,1401,-7.24917,112.75083,5.347000122,2022,ID,Jawa Timur
20IDN018,776,1405,3.9456514,108.1428669,4.355000019,2022,ID,Kepulauan Riau : Provinsi - Province
20IDN023,200,1411,-8.6573819,121.0793705,5.508999825,2022,ID,Nusa Tenggara Timur : Provinsi - Province
20IDN026,761,1414,0.2933469,101.7068294,4.528999805,2022,ID,Riau : Provinsi - Province
20IDN028,1475,1419,-3.6687994,119.9740534,4.559000015,2022,ID,Sulawesi Selatan : Provinsi - Province
20IDN032,1460,3637,3.599591109,98.67994984,4.493000031,2022,ID,Sumatera Utara : Provinsi - Province
20IRN006011,124,1449,28.5177435,53.5743866,6.035999775,2022,IM,Jahrom : Shahrestan - County
20IRN006026,598,1470,29.27350044,53.22029877,6.066999912,2022,IM,Sarvestan : Shahrestan - County
20IRN013006,4281,1436,29.9384731,56.5728597,5.933000088,2022,IM,Bardsir : Shahrestan - County
20IRN013017,6355,1468,30.3548893,56.002705,5.881999969,2022,IM,Rafsanjan : Shahrestan - County
20IRN014014,21,1475,34.7848053,47.59115601,5.431000233,2022,IM,Sonqor : Shahrestan - County
20IRN015,8,1456,31.4360149,49.041312,5.40899992,2022,IM,Khuzestan : Ostan - Province
20IRN019009,4970,1471,35.0236107,50.3585065,5.208000183,2022,IM,Saveh : Shahrestan - County
20IRN024027,2266,1480,35.2316863,60.6401218,5.334000111,2022,IM,Torbat e jam : Shahrestan - County
20IRN028015,17,1479,35.6891975,51.3889736,5.267000198,2022,IM,Tehran : Shahrestan - County
20IRN030002,3221,1433,32.3082212,54.0085616,5.585000038,2022,IM,Ardakan : Shahrestan - County
20IRN030008,1334,1462,32.2487226,54.0079341,5.587999821,2022,IM,Meybod : Shahrestan - County
20IRN030009,1107,1478,31.74710083,54.20880127,5.706999779,2022,IM,Taft : Shahrestan - County
20IRQ001,5,1490,32.5597614,41.9196471,5.646999836,2022,IM,Anbar Governorate
20IRQ001001,89,4145,33.33904862,43.79138977,5.375,2022,IM,Falluja District: Anbar Governorate
20IRQ001002,1534,4138,34.322015,41.16852822,5.414000034,2022,IM,Al-Qaim District: Anbar Governorate
20IRQ001003,230,4149,33.41754754,43.28399382,5.369999886,2022,IM,Ramadi District: Anbar Governorate
20IRQ001004,8,4142,33.04126198,40.27876828,5.711999893,2022,IM,Rutbah DIstrict: Anbar Governorate
20IRQ001005,194,4143,34.37279828,41.98953268,5.340000153,2022,IM,Ana District: Anbar Governorate
20IRQ001006,14,4147,34.09293277,42.37167154,5.382999897,2022,IM,Haditha District: Anbar Governorate
20IRQ001007,11,4148,33.64570568,42.82492848,5.369999886,2022,IM,Heet District: Anbar Governorate
20IRQ002001,62,4157,30.31743139,48.03880594,5.56799984,2022,IM,Abul Khasib District: Basrah Governorate
20IRQ002002,473,3860,30.51430031,47.79806351,5.589000225,2022,IM,Basrah : Basrah Governorate
20IRQ002005,5,3830,31.02032552,47.42625496,5.524000168,2022,IM,Al-Qurna District : Basrah Governorate
20IRQ002006,106,4158,30.38238803,47.71543431,5.592000008,2022,IM,Al-Zubair District: Basrah Governorate
20IRQ002007,10,3831,30.78973778,47.88125825,5.537000179,2022,IM,Shatt Al-Arab District : Basrah Governorate
20IRQ004002,55,4193,31.97445678,44.90723148,5.471000195,2022,IM,Diwaniya District: Qadisiya Governorate
20IRQ005001,1247,4133,35.5247441,44.82319522,5.276000023,2022,IM,Chamchamal District : Sulaymaniyah Governorate
20IRQ005002,79,4199,35.09526533,45.69772466,5.202000141,2022,IM,Darbandihkan District: Sulaymaniyah Governorate
20IRQ005003,196,3844,35.94285713,44.95970789,5.107999802,2022,IM,Dokan : Sulaymaniyah Governorate
20IRQ005004,20047,4201,35.54296512,45.45732118,5.294000149,2022,IM,Sulaymaniyah District: Sulaymaniyah Governorate
20IRQ005005,461,4200,34.63280555,45.33061901,5.269000053,2022,IM,Kalar District: Sulaymaniyah Governorate
20IRQ005006,205,3846,35.61505685,45.95869626,5.282000065,2022,IM,Penjwin District : Sulaymaniyah Governorate
20IRQ005007,400,3847,36.36579215,45.10909192,5.184999943,2022,IM,Pshdar District : Sulaymaniyah Governorate
20IRQ005008,2057,4134,36.22690162,44.89244085,5.164999962,2022,IM,Rania District : Sulaymaniyah Governorate
20IRQ005009,497,3850,35.76232317,45.61048853,5.258999825,2022,IM,Sharbazher District : Sulaymaniyah Governorate
20IRQ005010,243,4136,35.17168424,45.98863153,5.316999912,2022,IM,Halabja District : Sulaymaniyah Governorate
20IRQ006,5,1499,32.468191,44.5501935,5.438000202,2022,IM,Babylon Governorate
20IRQ006002,109,4151,32.49766726,44.43285807,5.443999767,2022,IM,Hilla District: Babylon Governorate
20IRQ006004,39,4150,32.77068946,44.2871073,5.413000107,2022,IM,Al-Musayab District: Babylon Governorate
20IRQ007001,192,4153,33.36911808,44.36179487,5.348999977,2022,IM,Adhamiya-Istiqlal District: Baghdad Governorate
20IRQ007002,7668,4154,33.35663001,44.39577687,5.354000092,2022,IM,Al-Resafa District: Baghdad Governorate
20IRQ007004,5266,4155,33.32156628,44.37807493,5.352000237,2022,IM,Al-Karkh District: Baghdad Governorate
20IRQ007005,29,4130,33.10083473,44.58660308,5.375999928,2022,IM,Madaâ€™In District: Baghdad Governorate
20IRQ007006,36,4156,33.5333327,44.26807611,5.306000233,2022,IM,Taji District: Baghdad Governorate
20IRQ007007,15,3829,33.67299119,44.36247746,5.256999969,2022,IM,Tarmia District : Baghdad Governorate
20IRQ007008,38,3828,33.04851402,44.35282316,5.393000126,2022,IM,Mahmoudiya District : Baghdad Governorate
20IRQ007009,123,4152,33.29627622,44.07855629,5.379000187,2022,IM,Abu Ghraib District: Baghdad Governorate
20IRQ008001,1880,3834,37.09184086,43.48712838,5.106999874,2022,IM,Amedi District : Duhok Governorate
20IRQ008002,5765,4167,36.85255998,42.95427809,5.166999817,2022,IM,Duhok District : Duhok Governorate
20IRQ008003,16236,4165,36.86407382,42.84757685,5.156000137,2022,IM,Sumel District: Duhok Governorate
20IRQ008004,9941,4166,37.14093259,42.67950005,5.104000092,2022,IM,Zakho District: Duhok Governorate
20IRQ009002,187,4205,31.03066538,46.28105667,5.479000092,2022,IM,Nassriya District: Thi-Qar Governorate
20IRQ009003,17,4203,31.69754723,46.1169532,5.458000183,2022,IM,Al-Rifa'I District: Thi-Qar Governorate
20IRQ009004,10,4204,31.3861676,46.16827896,5.475999832,2022,IM,Al-Shatra District: Thi-Qar Governorate
20IRQ009005,5,4586,30.85,46.5,5.475999832,2022,IM,Suq Al-Shoyokh District : Thi-Qar Governorate
20IRQ010001,18,4160,33.84039148,44.52098323,5.315000057,2022,IM,Khalis District: Diyala Governorate
20IRQ010002,8,4893,33.9383333,44.9277778,5.295000076,2022,IM,Al-Muqdadiya District: Diyala Governorate
20IRQ010003,6,4894,33.697,45.077,5.31099987,2022,IM,Baladrooz District: Diyala Governorate
20IRQ010004,507,4161,33.73244206,44.48149867,5.335999966,2022,IM,Baqoba District: Diyala Governorate
20IRQ010005,24,3832,34.35527981,45.37373657,5.287000179,2022,IM,Khanaqin District : Diyala Governorate
20IRQ011001,134,4218,35.78031713,43.57994838,5.197999954,2022,IM,Makhmour District: Erbil Governorate
20IRQ011003,92535,4169,36.19064911,44.01324899,5.140999794,2022,IM,Erbil District: Erbil Governorate
20IRQ011004,1341,4171,36.07458034,44.62764338,5.188000202,2022,IM,Koysnjaq District: Erbil Governorate
20IRQ011005,123,4172,36.83583097,44.30972245,5.099999905,2022,IM,Mergasur District: Erbil Governorate
20IRQ011006,1920,4173,36.39959283,44.31701119,4.97300005,2022,IM,Shaqlawa District: Erbil Governorate
20IRQ011007,1153,4174,36.65901663,44.55200904,5.065000057,2022,IM,Soran District: Erbil Governorate
20IRQ012001,5,4176,32.44972069,43.56410985,5.493999958,2022,IM,Ain Al-Tamur Districe: Kerbala Governorate
20IRQ012002,6,4177,32.54149915,44.22153527,5.428999901,2022,IM,Al-Hindiya District: Kerbala Governorate
20IRQ012003,619,1551,32.6068464,44.0103922,5.421000004,2022,IM,Kerbala District : Kerbala Governorate
20IRQ013,50,1552,35.4655761,44.3803921,5.235000134,2022,IM,Kirkuk Governorate
20IRQ013002,1414,4180,35.44999015,44.38089458,5.236000061,2022,IM,Kirkuk District : Kirkuk Governorate
20IRQ014001,70,4183,31.85067516,47.15642472,5.447999954,2022,IM,Ammara District: Missan Governorate
20IRQ014004,5,4181,31.51808057,46.92660147,5.447999954,2022,IM,Al-Maimouna District: Missan Governorate
20IRQ015001,59,4186,36.05028558,41.72681153,5.256999969,2022,IM,Al-Ba'aj District: Ninewa Governorate
20IRQ015002,7,4584,36.24,43.44,5.144999981,2022,IM,Al-Hamdaniya District : Ninewa Governorate
20IRQ015004,1145,4188,36.33398583,43.10095658,5.133999825,2022,IM,Mousl District: Ninewa Governorate
20IRQ015007,28,4189,36.30967544,41.86989203,5.256000042,2022,IM,Sinjar District: Ninewa Governorate
20IRQ015008,49,4190,36.35908126,42.40334547,5.18200016,2022,IM,Telafar District: Ninewa Governorate
20IRQ015009,44,4191,36.49147532,43.12522864,5.135000229,2022,IM,Tilkaif District: Ninewa Governorate
20IRQ015010,10,4221,36.73420052,43.88525239,5.122000217,2022,IM,Akre District: Ninewa Governorate
20IRQ016002,27,4208,32.50292696,45.85420769,5.412000179,2022,IM,Kut District: Wassit Governorate
20IRQ017001,79,4184,32.04204616,44.37355437,5.468999863,2022,IM,Kufa District: Najaf Governorate
20IRQ017003,478,1562,32.027376,44.3331165,5.487999916,2022,IM,Najaf District : Najaf Governorate
20IRQ018001,6,4194,34.4821223,44.35843298,5.269999981,2022,IM,Al-Daur District: Salah al-Din Governorate
20IRQ018004,14,4196,33.99773594,44.15900263,5.296999931,2022,IM,Balad District: Salah al-Din Governorate
