Country,_id,Population,Location id,latitude,longitude,solar_peak_hours
AF,Khost : Wilayat   ,9862,22,33.333847,69.9371673,5.17
AO,Lunda Norte,6908,93,-8.53698,19.52739696,5.41
BA,Federation of Bosnia and Herzegovina  ,2266,293,43.88749,17.842793,3.66
BD,Bhasan Char,16775,4778,22.3729,91.37659,4.95
BD,Camp 10,30835,3785,21.189743,92.154259,4.94
BD,Camp 11,31658,3795,21.18276,92.155749,4.93
BD,Camp 12,27557,3796,21.179848,92.151807,4.94
BD,Camp 13,43957,3798,21.178584,92.139856,4.95
BD,Camp 14,34039,3793,21.167026,92.144114,4.96
BD,Camp 15,54233,3782,21.160567,92.142901,4.96
BD,Camp 16,21863,3779,21.156461,92.149144,4.96
BD,Camp 17,18042,3799,21.197513,92.142851,4.94
BD,Camp 18,29212,3786,21.188976,92.14759,4.94
BD,Camp 19,25303,3790,21.183266,92.142411,4.95
BD,Camp 1E,40033,3797,21.216533,92.15566,4.93
BD,Camp 1W,38774,3791,21.21342,92.152348,4.93
BD,Camp 20,7567,3807,21.190871,92.140296,4.95
BD,Camp 20 Extension,10016,3776,21.194559,92.13437,4.95
BD,Camp 21,16387,3811,21.132213,92.158584,4.97
BD,Camp 22,22484,3801,21.088437,92.196866,4.97
BD,Camp 24,27409,3804,20.971724,92.247979,4.98
BD,Camp 25,7881,3802,20.980258,92.247219,4.99
BD,Camp 26,41771,3805,20.956998,92.25436839,4.98
BD,Camp 27,16077,3803,20.936073,92.260864,4.98
BD,Camp 2E,26497,3780,21.20663,92.16436719,4.93
BD,Camp 2W,24318,3794,21.208912,92.158323,4.93
BD,Camp 3,37105,3788,21.209166,92.149164,4.94
BD,Camp 4,32211,3810,21.208249,92.142885,4.94
BD,Camp 4 Extension,8666,3809,21.206272,92.136679,4.95
BD,Camp 5,26396,3789,21.2022,92.150814,4.94
BD,Camp 6,24584,3792,21.2,92.156858,4.93
BD,Camp 7,39009,3781,21.203122,92.165297,4.93
BD,Camp 8E,30951,3808,21.195558,92.164966,4.93
BD,Camp 8W,31910,3787,21.19679,92.154084,4.94
BD,Camp 9,34044,3784,21.189991,92.160313,4.93
BD,Kutupalong,17320,3918,21.212083,92.163801,4.93
BD,Nayapara,22869,3917,20.957341,92.249869,4.98
BD,Other,1090,4793,21.13475,92.16139318,4.97
BW,Dukwi  ,599,299,-20.586048,26.5078971,6.05
BY,Brest : Oblast  ,20,252,52.097621,23.7340503,3.03
BY,Gomel : Oblast  ,28,253,52.441176,30.9878462,3.06
BY,Mogilev : Oblast  ,8,257,53.900716,30.3313598,2.93
BY,Vitebsk : Oblast  ,29,258,55.184806,30.201622,2.82
CD,Bili,9928,4113,4.557068,19.93853624,5.39
CD,Boyabu,12375,881,-2.879866,23.65637779,4.85
CD,Inke,17670,906,4.199184,21.0152326,5.36
CD,Lusenda,26393,4369,-3.898429,29.10078062,5.18
CD,Mboti,672,962,-2.879866,23.65637779,4.85
CD,Mole,11078,967,4.136292,18.80358112,5.29
CD,Mulongwe,7528,4370,-4.226263,29.0421482,5.42
CM,Borgop  ,11511,426,6.915686,14.80075262,5.78
CM,Gado Badzere  ,29162,448,5.74878,14.44108755,5.52
CM,Lolo,12488,3735,4.278777,14.89946055,5.33
CM,Mbile  ,11031,481,4.326442,14.83967318,5.32
CM,Minawao,68516,495,10.564918,13.85652298,5.94
CM,Ngam,6811,3758,6.73375,14.57014,5.7
CM,Ngarisingo,1374,3742,3.554363,15.05656738,5.19
CM,Timangolo  ,7211,525,4.628767,14.54497063,5.34
CU,Camaguey  ,5,811,21.4146,-77.94450378,5.46
CU,Cienfuegos  ,11,813,22.237978,-80.365865,5.51
CU,Holguin  ,8,819,20.887739,-76.25879669,5.48
CU,La Habana  ,35,821,23.05407,-82.345189,5.3
CU,Las Tunas  ,7,822,21.060516,-76.9182097,5.43
CU,Matanzas  ,5,823,22.576712,-81.3399414,5.43
CU,Pinar del Rio  ,5,825,0,0,5.42
CU,Villa Clara  ,23,828,22.49372,-79.9192702,5.34
DJ,Ali-Addeh  ,17009,1014,11.825138,42.590275,6.24
DJ,Hol-Hol  ,7852,1018,11.307877,42.9295323,5.76
DJ,Obock : Pont,2730,3620,0,0,6
ET,Adiharush  ,14143,1098,8.626703,39.63755417,6.18
ET,Asaita  ,24726,1103,11.550586,41.4362457,6.16
ET,Awbarre  ,12605,1105,9.785503,43.2207073,6.55
ET,Bambasi Camp  ,19338,1107,0,0,5.83
ET,Berhale  ,31088,1110,13.863604,40.0210039,5.84
ET,Bokolmanyo  ,28548,1111,4.545546,41.5362656,5.86
ET,Buramino  ,38209,1115,8.626703,39.63755417,6.18
