region,PIT,MAN,BUR
Central Asia,0.795651805,1.989129512,0.1979
Eastern Asia,0.784,1.96,0.1979
South-eastern Asia,0.78913425,1.972835625,0.1979
Southern Asia,0.784,1.96,0.1979
Western Asia,0.802419971,2.006049927,0.1979
Northern Africa,0.784,1.96,0.1979
Eastern Africa,0.819150097,2.047875244,0.1979
Middle Africa,0.784,1.96,0.1979
Southern Africa,0.784,1.96,0.1979
Western Africa,0.784,1.96,0.1979
Eastern Europe,0.802339181,2.005847953,0.1979
Northern Europe,0.822279812,2.055699531,0.1979
Southern Europe,0.793835125,1.984587814,0.1979
Western Europe,0.803654596,2.00913649,0.1979
Caribbean,0.784,1.96,0.1979
Central America,0.784,1.96,0.1979
South America,0.79902439,1.997560976,0.1979
Northern America,0.849817284,2.12454321,0.1979
Australia and New Zealand,0.86768154,2.16920385,0.1979
Melanesia,0.86768154,2.16920385,0.1979
Micronesia,0.86768154,2.16920385,0.1979
Polynesia,0.86768154,2.16920385,0.1979
