region,PIT,MAN,BUR
Central Asia,0.593372093,1.483430233,0.473127198
Eastern Asia,0.534795326,1.336988314,0.438514375
South-eastern Asia,0.353168771,0.882921928,0.619890163
Southern Asia,0.434424242,1.086060606,0.646228379
Western Asia,0.47808507,1.195212675,0.840818986
Northern Africa,0.466255177,1.165637943,0.766388939
Eastern Africa,0.377396304,0.94349076,0.566723241
Middle Africa,0.183121043,0.457802607,0.460828346
Southern Africa,0.349754386,0.874385965,0.885341017
Western Africa,0.278669546,0.696673866,0.519762315
Eastern Europe,0.444533739,1.111334348,0.398898976
Northern Europe,0.388983282,0.972458204,0.397307221
Southern Europe,0.568841481,1.422103704,0.66982427
Western Europe,0.536633177,1.341582943,0.871221798
Caribbean,0.558382888,1.395957219,0.74856185
Central America,0.558382888,1.395957219,0.74856185
South America,0.511598431,1.278996078,0.852527555
Northern America,0.540319782,1.350799454,0.641959112
Australia and New Zealand,0.415853527,1.039633818,0.505745781
Melanesia,0.415853527,1.039633818,0.505745781
Micronesia,0.415853527,1.039633818,0.505745781
Polynesia,0.415853527,1.039633818,0.505745781
